"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
1,1.18509633466601372E-05,1.22316420311108203E-05,3.91269568353891373E-05,1.93140003830194473E-05,2.00999272055923936E-05,4.70749801024794579E-05,1.92390289157629013E-05,1.97594589553773461E-05,2.79230298474431038E-05
2,1.15430448204278946E-05,1.26211839960887999E-05,1.67000107467174530E-05,3.00829997286200523E-05,3.12798214145004744E-05,4.10350039601325989E-05,3.01910331472754478E-05,3.13125143293291141E-05,4.23429301008582115E-05
3,1.17300078272819519E-05,1.29813986131921417E-05,2.44979746639728546E-05,4.67560021206736565E-05,4.82668576296418932E-05,6.46840780973434448E-05,4.65658959001302719E-05,4.78089018724858791E-05,5.40639739483594894E-05
4,1.18449097499251366E-05,1.31730095017701397E-05,1.55519228428602219E-05,6.32109586149454117E-05,6.44941825885325600E-05,6.53211027383804321E-05,6.29440182819962502E-05,6.42669445369392742E-05,7.30929896235466003E-05
5,1.18330353870987892E-05,1.31832441547885539E-05,1.62699725478887558E-05,8.01370479166507721E-05,8.14389600418507744E-05,9.01269959285855293E-05,7.93850049376487732E-05,8.07979179080575791E-05,8.52689845487475395E-05
6,1.19289616122841835E-05,1.33448385167866921E-05,2.71858880296349525E-05,9.69400862231850624E-05,9.87575296312570539E-05,1.08210020698606968E-04,9.58360033109784126E-05,9.76095360238104956E-05,1.08447042293846607E-04
7,1.19620235636830330E-05,1.38823944143950957E-05,1.42576056532561779E-04,1.14687019959092140E-04,1.16408708272501806E-04,1.46783073432743549E-04,1.12508074380457401E-04,1.14361552987247666E-04,1.30070955492556095E-04
8,1.20260519906878471E-05,1.32882420439273124E-05,1.50429550558328629E-05,1.31277018226683140E-04,1.33497546194121262E-04,1.44464080221951008E-04,1.29093998111784458E-04,1.30670318612828850E-04,1.38727948069572449E-04
9,1.21049815788865089E-05,1.34590658126398949E-05,2.66090501099824905E-05,1.48770981468260288E-04,1.50107645895332029E-04,1.58648006618022919E-04,1.45500991493463516E-04,1.46846276475116682E-04,1.56614929437637329E-04
10,1.21179036796092987E-05,1.34796404745429800E-05,2.60609667748212814E-05,1.65230943821370602E-04,1.66978829074651054E-04,1.75630091689527035E-04,1.62043957971036434E-04,1.63599436637014119E-04,1.72175932675600052E-04
11,1.22040510177612305E-05,1.33972842013463359E-05,1.59840565174818039E-05,1.83438998647034168E-04,1.84726939769461733E-04,1.91263039596378803E-04,1.78738031536340714E-04,1.80648905225098055E-04,1.89543003216385841E-04
12,1.21099874377250671E-05,1.34599779266864080E-05,1.60139752551913261E-05,2.00151000171899796E-04,2.01723662903532258E-04,2.12599989026784897E-04,1.95396016351878643E-04,1.97478741174563789E-04,2.35541025176644325E-04
13,1.22989295050501823E-05,1.35813665110617896E-05,2.35089100897312164E-05,2.17083957977592945E-04,2.18995253089815340E-04,2.29581957682967186E-04,2.12207087315618992E-04,2.14212010614573810E-04,2.26709060370922089E-04
14,1.23709905892610550E-05,1.35806191246956592E-05,1.62048963829874992E-05,2.34029022976756096E-04,2.36245397245511414E-04,2.57642008364200592E-04,2.28849938139319420E-04,2.30686391005292455E-04,2.43442016653716564E-04
15,1.23300123959779739E-05,1.36328651569783702E-05,2.65690032392740250E-05,2.51215999014675617E-04,2.52845898503437582E-04,2.62668938376009464E-04,2.45545990765094757E-04,2.47335633030161333E-04,2.59033986367285252E-04
16,1.23350182548165321E-05,1.38845987385138918E-05,2.72589968517422676E-05,2.68135918304324150E-04,2.69954840186983392E-04,2.94325058348476887E-04,2.62574059888720512E-04,2.64052621787413901E-04,2.70993914455175400E-04
17,1.23579520732164383E-05,1.37246889062225844E-05,1.74770830199122429E-05,2.85424990579485893E-04,2.87321110954508164E-04,2.96715064905583858E-04,2.79473024420440197E-04,2.81306221149861871E-04,2.90479976683855057E-04
18,1.23869394883513451E-05,1.37670681579038497E-05,1.58901093527674675E-05,3.02362954244017601E-04,3.05191177176311721E-04,3.14612989313900471E-04,2.96402024105191231E-04,2.99095622031018092E-04,3.18038044497370720E-04
19,1.23420031741261482E-05,1.36913853930309427E-05,1.49789266288280487E-05,3.20276943966746330E-04,3.22368203196674670E-04,3.31302988342940807E-04,3.14100063405930996E-04,3.16064397338777781E-04,3.24564985930919647E-04
20,1.23389763757586479E-05,1.38944759964942915E-05,2.40500085055828094E-05,3.37931909598410130E-04,3.40746849542483677E-04,3.62491002306342125E-04,3.31822899170219898E-04,3.34657655330374687E-04,3.68539011105895042E-04
