"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
1,1.59140909090638161E-05,1.73750333487987545E-05,4.36310656368732452E-05,1.02317589335143566E-03,4.13865620503202011E-03,3.10903064091689885E-01,1.02376705035567284E-03,1.04790826328098790E-03,1.29952200222760439E-03
2,1.70160783454775810E-05,1.84681982500478614E-05,2.85069691017270088E-05,1.02609302848577499E-03,1.04168285382911564E-03,1.16509699728339911E-03,1.02685391902923584E-03,1.03834802401252084E-03,1.09199108555912971E-03
3,1.70529820024967194E-05,1.85017636977136070E-05,3.20470426231622696E-05,1.02644006256014109E-03,1.03752939030528086E-03,1.09021097887307405E-03,1.02306599728763103E-03,1.03735592216253319E-03,1.08098995406180620E-03
4,1.70210842043161392E-05,1.83717283653095305E-05,3.15119978040456772E-05,1.01522495970129967E-03,1.03702013962902150E-03,1.07511901296675205E-03,1.01632706355303526E-03,1.03791281115263681E-03,1.10326497815549374E-03
5,1.69709092006087303E-05,1.85203942237421843E-05,3.21439001709222794E-05,1.02434994187206030E-03,1.03809020132757742E-03,1.10404903534799814E-03,1.02312501985579729E-03,1.03751823655329634E-03,1.07504101470112801E-03
6,1.68769620358943939E-05,1.84297939995303757E-05,3.23780113831162453E-05,1.02669897023588419E-03,1.03947583935223484E-03,1.15931197069585323E-03,1.02470989804714918E-03,1.03632355690933767E-03,1.10642903018742800E-03
7,1.69430859386920929E-05,1.82686181506142004E-05,1.91580038517713547E-05,1.02315295953303576E-03,1.03840256924740953E-03,1.07513403054326773E-03,1.02341198362410069E-03,1.03892128681763968E-03,1.14843097981065512E-03
8,1.69370323419570923E-05,1.84446416096761839E-05,2.74839112535119057E-05,1.02432095445692539E-03,1.03816290851682495E-03,1.09723804052919149E-03,1.02258496917784214E-03,1.03550637839361966E-03,1.08374992851167917E-03
9,1.70490238815546036E-05,1.83517124969512201E-05,2.21610534936189651E-05,1.02516298647969961E-03,1.03985561872832477E-03,1.11152301542460918E-03,1.02640897966921329E-03,1.03663376299664386E-03,1.07767805457115173E-03
10,1.69558916240930557E-05,1.84186553815379720E-05,2.79559753835201263E-05,1.02610897738486528E-03,1.03973070159554446E-03,1.08065491076558828E-03,1.02564494591206312E-03,1.04047773987986131E-03,1.09310599509626627E-03
