"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
513,2.26782984100282192E-04,2.28903560782782705E-04,2.60006054304540157E-04,2.72176903672516346E-03,2.76112142950296320E-03,2.82336492091417313E-03,2.81377800274640322E-03,2.84554638201370844E-03,2.87313607987016439E-03
514,2.27311044000089169E-04,2.29313424206338816E-04,2.46030045673251152E-04,2.64758500270545483E-03,2.68061509006656739E-03,2.72089906502515078E-03,2.79403105378150940E-03,2.83729613525792986E-03,2.86708702333271503E-03
515,2.21290974877774715E-04,2.23275675089098439E-04,2.42238980717957020E-04,2.72625102661550045E-03,2.75941786821931731E-03,2.78747093398123980E-03,2.85153300501406193E-03,2.88060833583585934E-03,2.91017198469489813E-03
516,2.21629976294934750E-04,2.23918239935301153E-04,2.47707939706742764E-04,2.64981598593294621E-03,2.68579102936200792E-03,3.21799807716161013E-03,2.87332502193748951E-03,2.92289726901799390E-03,3.52931895758956671E-03
517,2.22682952880859375E-04,2.24524824880063540E-04,2.35579907894134521E-04,2.71891499869525433E-03,2.75997097021900024E-03,2.78498104307800531E-03,2.94244801625609398E-03,2.97445896780118221E-03,3.00343509297817945E-03
518,2.23162001930177212E-04,2.24973662407137472E-04,2.34146020375192165E-04,2.64724704902619123E-03,2.67791478545405031E-03,2.70409800577908754E-03,2.86806002259254456E-03,2.91737494524568200E-03,2.96227191574871540E-03
519,2.23436974920332432E-04,2.25317611475475178E-04,2.37919972278177738E-04,2.71946599241346121E-03,2.75729803135618635E-03,2.79320997651666403E-03,2.93626799248158932E-03,2.96439753146842061E-03,3.00302496179938316E-03
520,2.23953975364565849E-04,2.25749939563684148E-04,2.38896929658949375E-04,2.64904403593391180E-03,2.67734639579430287E-03,2.71303707268089056E-03,2.86682404112070799E-03,2.91132195270620356E-03,2.95091897714883089E-03
521,2.25631054490804672E-04,2.27436006534844628E-04,2.36699008382856846E-04,2.71426502149552107E-03,2.75738717871718258E-03,2.80551402829587460E-03,2.93435901403427124E-03,2.97357591800391551E-03,3.01155296619981527E-03
522,2.26111966185271740E-04,2.28148166206665413E-04,2.44801980443298817E-04,2.64624506235122681E-03,2.68338766181841449E-03,2.70670594181865454E-03,2.87989596836268902E-03,2.92267645476386060E-03,2.95443099457770586E-03
523,2.27916985750198364E-04,2.29935170500539319E-04,2.47085001319646835E-04,2.71155999507755041E-03,2.74596029310487325E-03,2.77987495064735413E-03,2.93022696860134602E-03,2.96266110963188094E-03,3.00677097402513027E-03
524,2.28235032409429550E-04,2.30554588488303121E-04,2.58643995039165020E-04,2.65067606233060360E-03,2.68299175309948731E-03,2.71549494937062263E-03,2.87563400343060493E-03,2.91501039639115340E-03,2.95064004603773355E-03
525,2.28015007451176643E-04,2.30891056125983631E-04,2.66708899289369583E-04,2.70543794613331556E-03,2.74387436686083716E-03,2.78250896371901035E-03,2.93421698734164238E-03,2.96329429489560359E-03,3.02058900706470013E-03
526,2.28320015594363213E-04,2.30689501622691748E-04,2.47621093876659870E-04,2.64343991875648499E-03,2.68040968687273612E-03,2.71130900364369154E-03,2.85807601176202297E-03,2.89818460936658046E-03,2.92670098133385181E-03
527,2.30166013352572918E-04,2.32156548299826648E-04,2.44801980443298817E-04,2.69351201131939888E-03,2.73061808664351894E-03,2.76073603890836239E-03,2.93466995935887098E-03,2.96036007115617426E-03,3.00568901002407074E-03
528,2.30661011300981045E-04,2.32842308469116655E-04,2.42311973124742508E-04,2.49406904913485050E-03,2.51912452513351932E-03,2.55878001917153597E-03,2.76538101024925709E-03,2.80543315457180064E-03,2.84808699507266283E-03
529,2.35847895964980125E-04,2.38419984234496932E-04,2.54957005381584167E-04,2.74072797037661076E-03,2.77614996535703639E-03,2.79961002524942160E-03,2.97418597619980574E-03,3.01450152299366850E-03,3.05525900330394506E-03
530,2.36085965298116207E-04,2.38457219093106691E-04,2.47849035076797009E-04,2.66021897550672293E-03,2.69641597871668774E-03,2.72274995222687721E-03,2.90635798592120409E-03,2.94680333230644539E-03,2.97227199189364910E-03
531,2.32791062444448471E-04,2.34853206784464425E-04,2.43714079260826111E-04,2.73280695546418428E-03,2.77529087616130727E-03,2.80174496583640575E-03,2.97865900211036205E-03,3.00927688484079999E-03,3.03765304852277040E-03
532,2.33319005928933620E-04,2.34867377439513820E-04,2.44660070165991783E-04,2.66566406935453415E-03,2.69541128422133743E-03,2.72359896916896105E-03,2.91300890967249870E-03,2.94674785109236758E-03,2.97271506860852242E-03
533,2.35114013776183128E-04,2.37358231679536382E-04,2.57921987213194370E-04,2.73134792223572731E-03,2.77387881069444042E-03,2.80100002419203520E-03,2.96802399680018425E-03,3.00421414431184444E-03,3.03824699949473143E-03
534,2.35646963119506836E-04,2.37681110156700063E-04,2.61135981418192387E-04,2.66802695114165545E-03,2.69441909855231559E-03,2.72922904696315527E-03,2.90570897050201893E-03,2.94730184250511194E-03,2.97346594743430614E-03
535,2.35846964642405510E-04,2.38005330320447707E-04,2.52109020948410034E-04,2.74241704028099775E-03,2.77597218751907387E-03,2.80887808185070753E-03,2.96986894682049751E-03,2.99874015967361738E-03,3.03459598217159510E-03
536,2.36304011195898056E-04,2.38291601417586155E-04,2.55565042607486248E-04,2.67520698253065348E-03,2.69825286581181021E-03,2.72843497805297375E-03,2.90008389856666327E-03,2.93526692898012738E-03,2.97102599870413542E-03
537,2.37424043007194996E-04,2.39431908703409142E-04,2.54555023275315762E-04,2.72396602667868137E-03,2.77336079510860124E-03,2.79858591966331005E-03,2.96028202865272760E-03,2.99535118159838069E-03,3.03536292631179094E-03
538,2.37792031839489937E-04,2.40396547014825045E-04,2.65885028056800365E-04,2.66969494987279177E-03,2.70570838125422765E-03,2.74135696236044168E-03,2.90612492244690657E-03,2.94451712863519777E-03,2.99310998525470495E-03
539,2.46218056418001652E-04,2.48387484462000443E-04,2.60952976532280445E-04,2.73349904455244541E-03,2.76874930132180478E-03,2.81431700568646193E-03,2.94886308256536722E-03,2.97964380471967124E-03,3.02630697842687368E-03
540,2.46651004999876022E-04,2.48446223558857989E-04,2.60949018411338329E-04,2.67678592354059219E-03,2.70464003435336078E-03,2.73507402744144201E-03,2.88787600584328175E-03,2.93791750678792669E-03,2.99303804058581591E-03
541,2.40530003793537617E-04,2.42511046817526252E-04,2.54170037806034088E-04,2.72499991115182638E-03,2.76098133297637133E-03,2.79420206788927317E-03,2.93198809958994389E-03,2.97239809762686559E-03,3.01318604033440351E-03
542,2.40936991758644581E-04,2.43180244578979884E-04,2.55931052379310131E-04,2.67035106662660837E-03,2.70095943007618187E-03,2.73497507441788912E-03,2.87240801844745874E-03,2.92453901027329250E-03,2.96222406905144453E-03
543,2.42071924731135368E-04,2.44143716990947730E-04,2.53204954788088799E-04,2.72598897572606802E-03,2.75903335656039377E-03,2.80641508288681507E-03,2.93702795170247555E-03,2.97064320649951781E-03,3.00692010205239058E-03
544,2.42562033236026764E-04,2.45097182341851255E-04,2.61635985225439072E-04,2.50962295103818178E-03,2.53918005269952122E-03,2.56718695163726807E-03,2.78018799144774675E-03,2.82550517236813958E-03,2.86702997982501984E-03
545,2.50150915235280991E-04,2.52186607685871405E-04,2.64947069808840752E-04,2.78052489738911390E-03,2.81883517745882195E-03,2.85284197889268398E-03,3.01003106869757175E-03,3.05557521642185704E-03,3.09766700956970453E-03
546,2.50663026235997677E-04,2.52646503504365730E-04,2.65487004071474075E-04,2.69689399283379316E-03,2.73577330284751957E-03,2.76295095682144165E-03,2.92885408271104097E-03,2.97655500122346066E-03,3.00803594291210175E-03
547,2.47366027906537056E-04,2.49463263899087919E-04,2.65675014816224575E-04,2.78431398328393698E-03,2.81937589519657382E-03,2.84922297578305006E-03,3.01127298735082150E-03,3.04433388635516090E-03,3.08424700051546097E-03
548,2.47839023359119892E-04,2.49942382797598808E-04,2.62762070633471012E-04,2.69473902881145477E-03,2.73546721553429928E-03,2.76392500381916761E-03,2.92810599785298109E-03,2.97599374433048019E-03,3.01370397210121155E-03
549,2.48946016654372215E-04,2.50620472361333759E-04,2.68624047748744488E-04,2.78601096943020821E-03,2.81705625471658991E-03,2.85376107785850763E-03,2.99306889064610004E-03,3.03708585328422379E-03,3.07031197007745504E-03
550,2.49395030550658703E-04,2.51480393926613007E-04,2.68068979494273663E-04,2.70754401572048664E-03,2.73536095395684109E-03,2.76320707052946091E-03,2.92942707892507315E-03,2.97667943523265491E-03,3.01174505148082972E-03
551,2.49889912083745003E-04,2.52201355178840515E-04,2.68976902589201927E-04,2.78182502370327711E-03,2.81736684846691779E-03,2.84735893364995718E-03,2.99552700016647577E-03,3.03268429939635093E-03,3.07066901586949825E-03
552,2.50225071795284748E-04,2.52820664900354998E-04,2.62675923295319080E-04,2.70317692775279284E-03,2.73530660546384731E-03,2.77459505014121532E-03,2.93135410174727440E-03,2.97370759188197564E-03,3.00155603326857090E-03
553,2.52105994150042534E-04,2.54336068755946980E-04,2.70675984211266041E-04,2.77965900022536516E-03,2.82799041131511376E-03,2.85490904934704304E-03,3.00010701175779104E-03,3.03108488209545557E-03,3.07123200036585331E-03
554,2.52534053288400173E-04,2.54437503172084663E-04,2.67055933363735676E-04,2.70891899708658457E-03,2.74837497854605369E-03,2.77268094941973686E-03,2.94732197653502226E-03,2.98088396899402275E-03,3.02231300156563520E-03
555,2.54389015026390553E-04,2.56864457041956567E-04,2.73739104159176350E-04,2.77596805244684219E-03,2.81910786521620983E-03,2.85486190114170313E-03,2.99016397912055254E-03,3.02542761433869647E-03,3.06783698033541441E-03
556,2.54788086749613285E-04,2.57138378801755551E-04,2.76116072200238705E-04,2.71521299146115780E-03,2.74774633231572802E-03,2.77850194834172726E-03,2.93866510037332773E-03,2.96882491791620930E-03,3.01656697411090136E-03
557,2.54723010584712029E-04,2.56901281536556789E-04,2.71977973170578480E-04,2.76431895326822996E-03,2.80753293191082689E-03,2.83323298208415508E-03,2.97573802527040243E-03,3.02294350229203625E-03,3.05165699683129787E-03
558,2.55094026215374470E-04,2.56947529269382381E-04,2.72690085694193840E-04,2.71171901840716600E-03,2.74775866535492252E-03,2.78126006014645100E-03,2.92821496259421110E-03,2.96630694880150279E-03,3.00254602916538715E-03
